task_id,fragment,witnesses_found,emit_success,compiler_pass,errors
bench_assoc_type_01_pos_0,core_emit,5,True,True,
bench_assoc_type_01_pos_1,core_emit,5,True,True,
bench_assoc_type_01_pos_2,core_emit,5,True,True,
bench_cap_alias_diff_cap_01_pos_0,core_emit,5,True,True,
bench_cap_alias_diff_cap_01_pos_1,core_emit,5,True,True,
bench_cap_alias_diff_cap_01_pos_2,core_emit,5,True,True,
bench_cap_copy_reuse_01_pos_0,core_emit,5,True,True,
bench_cap_copy_reuse_01_pos_1,core_emit,5,True,True,
bench_cap_copy_reuse_01_pos_2,core_emit,5,True,True,
bench_cap_freeze_unfreeze_01_pos_0,core_emit,5,True,True,
bench_cap_freeze_unfreeze_01_pos_1,core_emit,5,True,True,
bench_cap_freeze_unfreeze_01_pos_2,core_emit,5,True,True,
bench_cap_move_vs_copy_01_pos_0,core_emit,5,True,True,
bench_cap_move_vs_copy_01_pos_1,core_emit,5,True,True,
bench_cap_move_vs_copy_01_pos_2,core_emit,5,True,True,
bench_cap_own_frz_blk_01_pos_0,core_emit,5,True,True,
bench_cap_own_frz_blk_01_pos_1,core_emit,5,True,True,
bench_cap_own_frz_blk_01_pos_2,core_emit,5,True,True,
bench_copy_clone_01_pos_0,core_emit,4,True,True,
bench_copy_clone_01_pos_1,core_emit,4,True,True,
bench_copy_clone_01_pos_2,core_emit,4,True,True,
bench_ctor_chain_01_pos_0,core_emit,5,True,True,
bench_ctor_chain_01_pos_1,core_emit,5,True,True,
bench_ctor_chain_01_pos_2,core_emit,5,True,True,
bench_drop_unfreeze_01_pos_0,core_emit,5,True,True,
bench_drop_unfreeze_01_pos_1,core_emit,5,True,True,
bench_drop_unfreeze_01_pos_2,core_emit,5,True,True,
bench_lifetime_nest_01_pos_0,core_emit,5,True,True,
bench_lifetime_nest_01_pos_1,core_emit,5,True,True,
bench_lifetime_nest_01_pos_2,core_emit,5,True,True,
bench_mixed_ambig_provider_01_pos_0,core_emit,5,True,True,
bench_mixed_ambig_provider_01_pos_1,core_emit,5,True,True,
bench_mixed_ambig_provider_01_pos_2,core_emit,5,True,True,
bench_mixed_ctor_borrow_proj_01_pos_0,core_emit,5,True,True,
bench_mixed_ctor_borrow_proj_01_pos_1,core_emit,5,True,True,
bench_mixed_ctor_borrow_proj_01_pos_2,core_emit,5,True,True,
bench_mixed_long_chain_01_pos_0,core_emit,5,True,True,
bench_mixed_long_chain_01_pos_1,core_emit,5,True,True,
bench_mixed_long_chain_01_pos_2,core_emit,5,True,True,
bench_move_copy_01_pos_0,core_emit,5,True,True,
bench_move_copy_01_pos_1,core_emit,5,True,True,
bench_move_copy_01_pos_2,core_emit,5,True,True,
bench_multi_borrow_01_pos_0,core_emit,5,True,True,
bench_multi_borrow_01_pos_1,core_emit,5,True,True,
bench_multi_borrow_01_pos_2,core_emit,5,True,True,
bench_mut_borrow_01_pos_0,core_emit,5,True,True,
bench_mut_borrow_01_pos_1,core_emit,5,True,True,
bench_mut_borrow_01_pos_2,core_emit,5,True,True,
bench_mut_reborrow_01_pos_0,core_emit,5,True,True,
bench_mut_reborrow_01_pos_1,core_emit,5,True,True,
bench_mut_reborrow_01_pos_2,core_emit,5,True,True,
bench_obl_assoc_decides_01_pos_0,core_emit,5,True,True,
bench_obl_assoc_decides_01_pos_1,core_emit,5,True,True,
bench_obl_assoc_decides_01_pos_2,core_emit,5,True,True,
bench_obl_distractor_shape_01_pos_0,core_emit,5,True,True,
bench_obl_distractor_shape_01_pos_1,core_emit,5,True,True,
bench_obl_distractor_shape_01_pos_2,core_emit,5,True,True,
bench_obl_generic_method_01_pos_0,core_emit,5,True,True,
bench_obl_generic_method_01_pos_1,core_emit,5,True,True,
bench_obl_generic_method_01_pos_2,core_emit,5,True,True,
bench_obl_trait_gate_01_pos_0,core_emit,5,True,True,
bench_obl_trait_gate_01_pos_1,core_emit,5,True,True,
bench_obl_trait_gate_01_pos_2,core_emit,5,True,True,
bench_proj_move_01_pos_0,core_emit,5,True,True,
bench_proj_move_01_pos_1,core_emit,5,True,True,
bench_proj_move_01_pos_2,core_emit,5,True,True,
bench_shared_borrow_01_pos_0,core_emit,5,True,True,
bench_shared_borrow_01_pos_1,core_emit,5,True,True,
bench_shared_borrow_01_pos_2,core_emit,5,True,True,
bench_shr_from_mut_01_pos_0,core_emit,5,True,True,
bench_shr_from_mut_01_pos_1,core_emit,5,True,True,
bench_shr_from_mut_01_pos_2,core_emit,5,True,True,
bench_stack_discharge_order_01_pos_0,core_emit,5,True,True,
bench_stack_discharge_order_01_pos_1,core_emit,5,True,True,
bench_stack_discharge_order_01_pos_2,core_emit,5,True,True,
bench_stack_last_reader_01_pos_0,core_emit,5,True,True,
bench_stack_last_reader_01_pos_1,core_emit,5,True,True,
bench_stack_last_reader_01_pos_2,core_emit,5,True,True,
bench_stack_nested_scope_01_pos_0,core_emit,5,True,True,
bench_stack_nested_scope_01_pos_1,core_emit,5,True,True,
bench_stack_nested_scope_01_pos_2,core_emit,5,True,True,
bench_stack_reborrow_depth_01_pos_0,core_emit,5,True,True,
bench_stack_reborrow_depth_01_pos_1,core_emit,5,True,True,
bench_stack_reborrow_depth_01_pos_2,core_emit,5,True,True,
bench_stack_shr_then_mut_01_pos_0,core_emit,5,True,True,
bench_stack_shr_then_mut_01_pos_1,core_emit,5,True,True,
bench_stack_shr_then_mut_01_pos_2,core_emit,5,True,True,
bench_trait_bound_01_pos_0,core_emit,5,True,True,
bench_trait_bound_01_pos_1,core_emit,5,True,True,
bench_trait_bound_01_pos_2,core_emit,5,True,True,
bench_tuple_flow_01_pos_0,core_emit,5,True,True,
bench_tuple_flow_01_pos_1,core_emit,5,True,True,
bench_tuple_flow_01_pos_2,core_emit,5,True,True,
bench_typeonly_borrow_kind_01_pos_0,core_emit,5,True,True,
bench_typeonly_borrow_kind_01_pos_1,core_emit,5,True,True,
bench_typeonly_borrow_kind_01_pos_2,core_emit,5,True,True,
bench_typeonly_cap_trap_01_pos_0,core_emit,5,True,True,
bench_typeonly_cap_trap_01_pos_1,core_emit,5,True,True,
bench_typeonly_cap_trap_01_pos_2,core_emit,5,True,True,
bench_typeonly_dead_provider_01_pos_0,core_emit,5,True,True,
bench_typeonly_dead_provider_01_pos_1,core_emit,5,True,True,
bench_typeonly_dead_provider_01_pos_2,core_emit,5,True,True,
